,content,annotation,extras
383,hippies hate that stuff... too chemical-y. This is true when used in ENORMOUS amounts.,"{'notes': '', 'label': ['1']}",
384,i have to go inside of you tomorrow. i hate myself every time i am in you. i feel cheap and dirty.,"{'notes': '', 'label': ['1']}",
385,#NAME?,"{'notes': '', 'label': ['1']}",
386,"(RT) Fat Bastard (my beagle) is writing his ""tail-all"" confessional diary about online dating...","{'notes': '', 'label': ['1']}",
387,- Fat Bastard sends hugs for retweet on Austin Girl blog: http://austingirlblog.wordpress.com (need feedback on writing),"{'notes': '', 'label': ['1']}",
388,jizz in my pants is old news nigga. Keep up LOL. instead of doing it locally just come over early and do it here. Fuck local shit,"{'notes': '', 'label': ['1']}",
389,@lastlee...that movie was good...not boring...very gay....but equally good,"{'notes': '', 'label': ['1']}",
390,fuck u and ur early screenings...jealous...prepare for tuesday mash...im coming with woody to freebirds/mash,"{'notes': '', 'label': ['1']}",
391,cant wait to get FUCKED THE FUCK UP,"{'notes': '', 'label': ['1']}",
392,well if they hate you  are they still considered a fan?,"{'notes': '', 'label': ['1']}",
393,I'm kinda meh on it--It wouldn't even be a contest as Madonna would kick his ass while he was running around screaming.,"{'notes': '', 'label': ['1']}",
394,ok I take you off of my hate list and send you hugs  I am in business..this is my alter ego. mwahahah,"{'notes': '', 'label': ['1']}",
395,http://twitpic.com/rt32 - omg :/ sucks to be u. hope u got some good tunes going makes it more delightful to sit through.,"{'notes': '', 'label': ['1']}",
396,it's one thing if it's my friends using it on me  but I hate when 23 year olds message me on OKC and call me that or Older woman,"{'notes': '', 'label': ['1']}",
397,that would be one shocking pussy lol,"{'notes': '', 'label': ['1']}",
398, Totally agree with you.  Fuck Prop 8.  very cool that apple came out publicly against 8 on the website.,"{'notes': '', 'label': ['1']}",
399,u know  that's what I hate about Ohio  seeing grown up idiots in shorts when it's freezing outside :0),"{'notes': '', 'label': ['1']}",
400,fuck yes,"{'notes': '', 'label': ['1']}",
401,:) if she is a dumb hoe why'd he put his cock in her?,"{'notes': '', 'label': ['1']}",
402,still nothing.  Lucky for you I have the free time to hop on twitter and remind you that you still fucking owe me.,"{'notes': '', 'label': ['1']}",
403,charter sucks as is nothing but trouble - att needs to roll out uverse faster!,"{'notes': '', 'label': ['1']}",
404,did Santa cum n visit u huny?,"{'notes': '', 'label': ['1']}",
405,nice voicemail... i didn't enjoy it cuz i am a bitch.,"{'notes': '', 'label': ['1']}",
406,summer workout tape? How you gonna workout to Kanyes depressing ass album  ok  maybe 2 songs,"{'notes': '', 'label': ['1']}",
407,Well I I said some words about Pollgod that i didnt mean because a SP member was being a fuck head lol,"{'notes': '', 'label': ['1']}",
408,i'm with you on the new yrs res! i'm 10lbs chubbier than i was 8 mos ago and i ALSO thought i was completely immune to fat! :(,"{'notes': '', 'label': ['1']}",
409,Oh  you bastard.  You couldn't wait until I'm not busy.  I'll probably catch the tail end again.  Damn it all.,"{'notes': '', 'label': ['1']}",
410,How is the Loser episode?  Lotsa crying??,"{'notes': '', 'label': ['1']}",
411,I am Dutch ;) Over here  there's a difference between the fat ho-ho santa and st. nicolas (sinterklaas).,"{'notes': '', 'label': ['1']}",
412,fuck off!!!,"{'notes': '', 'label': ['1']}",
413,ducking ducking ducking. Stupid ass autocorrect,"{'notes': '', 'label': ['1']}",
414,DAMN TJ  You getting called out in songs now??!!,"{'notes': '', 'label': ['1']}",
415,LMAO!! I aint gonna front  shit did look kinda moist! Ol Duncan Hines Ass!!! LOL!!,"{'notes': '', 'label': ['1']}",
416,my programs is telling me the same damn thing. WTH!?!,"{'notes': '', 'label': ['1']}",
417,I wanna see her tall lanky ass playin tennis  lol,"{'notes': '', 'label': ['1']}",
418,The guy who runs it is a major dick  underpays or doesn't pay models. He's harassed me and belittled me.,"{'notes': '', 'label': ['1']}",
419,Yeah it was four years ago  but I have a long memory. I also still hate the Avalanche even though they've sucked for years. :},"{'notes': '', 'label': ['1']}",
420,Grew up a Habs fan  which meant I had to hate the Leafs when I moved to Toronto  which meant embracing the Wings.,"{'notes': '', 'label': ['1']}",
421,Wilt fresh spinach with hot bacon fat and top with bacon!,"{'notes': '', 'label': ['1']}",
422, Graphic novel class? I hate you but I love you but still I hate you and oh yesh  Hows ya boy JImmy?,"{'notes': '', 'label': ['1']}",
423,usually  if I am at the point where I'm ready to say something mean  I will click away. I hate mean people.  hate them.,"{'notes': '', 'label': ['1']}",
424,yes  it's winter time and i'd hate for her ears to get cold out there on the ocean city boardwalk.,"{'notes': '', 'label': ['1']}",
425,Now I know you're really are GAY!,"{'notes': '', 'label': ['1']}",
426,Me?? Hairy ass??? WTF?!?! I would laser that shit...,"{'notes': '', 'label': ['1']}",
427,which keyboard do u hate? I hate iPhone keyboard. Yes touchscreen is cool but I WISH I had actual buttons 2 push! Less typo's,"{'notes': '', 'label': ['1']}",
428,write more books  sccessful new venture with me  &bring fat fat 2 L.A. so we can hang out and buy our sons a bunch of cute clothes,"{'notes': '', 'label': ['1']}",
429,Fuck you  McGaffigan. I WANT TO GO. NAO!,"{'notes': '', 'label': ['1']}",
430,You can stop voting now. Holy fuck. If only McCain had you on his side  and you were 18.,"{'notes': '', 'label': ['1']}",
431,You bash Nickelback  but you listen to Staind? WTF?! I hate both  btw.,"{'notes': '', 'label': ['1']}",
432,I nominate @Badhorse_ for a Shorty Award in #green because... Why the fuck not?,"{'notes': '', 'label': ['1']}",
433,Joanne Angel? You know how much I hate you right now :p &lt;3 XXXorcist,"{'notes': '', 'label': ['1']}",
434,I also lost my wallet over the weekend! its sucks  in my case I was just dumb and appear to have dropped it somewhere...,"{'notes': '', 'label': ['1']}",
435,dunno  I just saw her go at the top of stairs; It seemed like an ass slide.,"{'notes': '', 'label': ['1']}",
436,It's just crazy. This boy is fucking up my sleep schedule. Probably why I don't mind too much. ;),"{'notes': '', 'label': ['1']}",
437,"RE: Hugh's daughter.  I just hate to see when a female CEO step down and says it's so ""company can evolve"" AAARRRG!","{'notes': '', 'label': ['1']}",
438,like tha new 50 shit fire.  finally sum club gangsta shit i neede that!!! hook is catchy as fuck and 50 whas rappin good.,"{'notes': '', 'label': ['1']}",
439,i fuck wit u.  u got skillz homie.,"{'notes': '', 'label': ['1']}",
440,-- damn fool. you're a 247 workhorse!,"{'notes': '', 'label': ['1']}",
441,#NAME?,"{'notes': '', 'label': ['1']}",
442,-- damn homie ... in highschool you was the man homie. fuck happened to you?,"{'notes': '', 'label': ['1']}",
443,--- that shit right there fool ... is FUCKING TIGHT!!!! --- http://tinyurl.com/6fro26,"{'notes': '', 'label': ['1']}",
444,no. ur 13 get the fuck off the internet and get back to playing with ur easy bake oven. stupid parents buyin brats iphones.,"{'notes': '', 'label': ['1']}",
445,if Q is there tell him he sucks. He's dark and plays suspect lol,"{'notes': '', 'label': ['1']}",
446,thats the only set back  and its a bitch to send ish back,"{'notes': '', 'label': ['1']}",
447,blocked. What a fucking load of old shit.,"{'notes': '', 'label': ['1']}",
448,lol the fuck what concert was that,"{'notes': '', 'label': ['1']}",
449,because I hate you. The last one I rewrote cuz there was a typo and it was bothering me,"{'notes': '', 'label': ['1']}",
450,oops but you're forgiven. Hope they win. I Never had a good exp. with a shelter  they hate us military types. Glad you did though!,"{'notes': '', 'label': ['1']}",
451,fuck yo couch,"{'notes': '', 'label': ['1']}",
452,ground her now and she'll kick your ass lol,"{'notes': '', 'label': ['1']}",
453,can't make up my mind. Go out w my girl vip style and leave the dog home alone till morn  stay in or go to a gay pj party,"{'notes': '', 'label': ['1']}",
454,Oh  Hannah  I am so  so sorry for your loss. I've done the deathbed vigil and it sucks. I hope your pain eases with time. Love,"{'notes': '', 'label': ['1']}",
455,Happy birthday you damn sexy hobo!,"{'notes': '', 'label': ['1']}",
456,I'm celebrating and drinking to the fact you're an annoying fuck :),"{'notes': '', 'label': ['1']}",
457,I'm doing nothing. I was thinking about going to the Flaming Lips concert  but hate going alone.,"{'notes': '', 'label': ['1']}",
458,dude the talk about universe at #LeWeb is awesome. As a nerd guy you have to watch it,"{'notes': '', 'label': ['1']}",
459,Jerry IS Cowboy's problem. He won't hire real coach  'cuz then the credit wouldn't go to him. He's poster child for attn whore.,"{'notes': '', 'label': ['1']}",
460,u r pussy. lulz.,"{'notes': '', 'label': ['1']}",
461,don't you just hate that?! Especially when it is over the most irrelevant crap,"{'notes': '', 'label': ['1']}",
462,yes. Freakin 17 and in college since i was 16 ugh! It sucks. Hah,"{'notes': '', 'label': ['1']}",
463,Then why u cryn? Hate'n on me.,"{'notes': '', 'label': ['1']}",
464,If it wasn't for AT&T's spotty network  I'd switch in a heartbeat. That's where Verizon kicks some serious ass.,"{'notes': '', 'label': ['1']}",
465,you fart like a fucking bass drum lol,"{'notes': '', 'label': ['1']}",
466,what da drilly wit dat do! ...oh  and i STILL got distribution in Japan...damn  that chick was the worst that night,"{'notes': '', 'label': ['1']}",
467,yeah  but w/ that running time u'll be there 2morrow. that mmovie is long as fuck.,"{'notes': '', 'label': ['1']}",
468,damn bossman  let find out u got 2 jobs. what are u  a single parent or somethin'?,"{'notes': '', 'label': ['1']}",
469,"no-sign. i dont fuck with ""rats""","{'notes': '', 'label': ['1']}",
470,http://twitpic.com/s13a - omg i hate scottiethehottie!! he is a retarded spammer!! he is photographer08 (it got deleted ...,"{'notes': '', 'label': ['1']}",
471,no fuck you,"{'notes': '', 'label': ['1']}",
472,I don't bother arguing that about Bush anymore because people who admire him have damn near no power post-2008 elections.,"{'notes': '', 'label': ['1']}",
473,do you think you are nudging me to change my update...WHORE NAILS!,"{'notes': '', 'label': ['1']}",
474,thats what you get for being a fat ass....FAT ASS...,"{'notes': '', 'label': ['1']}",
475,I HATE YOU!,"{'notes': '', 'label': ['1']}",
476,i've been on twitter 1 week and am about 20 shy of 500. does that make me a loser? LOL LOL LOL,"{'notes': '', 'label': ['1']}",
477,well either wy thy like dick wayyy to much.,"{'notes': '', 'label': ['1']}",
478,omg son i JUST figured out how to reply to youuuuuuu. i hate this lmao,"{'notes': '', 'label': ['1']}",
479,fail whale?,"{'notes': '', 'label': ['1']}",
480,cluster fuck indeed.,"{'notes': '', 'label': ['1']}",
481,"- you can trust me to do my part to help @adam_callender win his ""biggest loser"" contest.  ;)","{'notes': '', 'label': ['1']}",
482,Dang I hate the little buttons. GO BACK ONE TWEET!,"{'notes': '', 'label': ['1']}",
483,ironic - I normally hate plastic 4 environmental reasons- this time  it actually saved some of the patterns from the wet grass,"{'notes': '', 'label': ['1']}",
484,God Damn !! Ok ... How about Peter Duncan then ?,"{'notes': '', 'label': ['1']}",
485,damn you overload issues! :(,"{'notes': '', 'label': ['1']}",
486,that's killer. Wish it was even cool here. But it's been damn near 80 most of the week. No where near festive temps.,"{'notes': '', 'label': ['1']}",
487,"ugh  yes. I am a consumer whore... ""and how!""","{'notes': '', 'label': ['1']}",
488,SHUT THE FUCK UP!,"{'notes': '', 'label': ['1']}",
489,i hear ya. iPods can get annoying with that damn clicking noise!,"{'notes': '', 'label': ['1']}",
490,dude...if u didnt tell me how 2 do this fucking thing(twittr) i wud prob still b lyk nowhere with it!,"{'notes': '', 'label': ['1']}",
491,Don't you just hate deciding on things.,"{'notes': '', 'label': ['1']}",
492,"eddie izzard says the brits pronounce ""herb"" with the h ""because there's a fucking h in it.""","{'notes': '', 'label': ['1']}",
493,I feel like such a nerd watching this! I LOVE IT!!!!!!!!!,"{'notes': '', 'label': ['1']}",
494,#NAME?,"{'notes': '', 'label': ['1']}",
495,wtf? That is so gay.,"{'notes': '', 'label': ['1']}",
496,Would you believe the same article said eating less helps us live longer  too? Damn those scientists!,"{'notes': '', 'label': ['1']}",
497,"YOU""RE A GAY!? .... =) I &lt;3 you","{'notes': '', 'label': ['1']}",
498,There's some dude at this bar that totally looks like you. Should I kick his ass for impersonating?,"{'notes': '', 'label': ['1']}",
499,all these awesome people just flock to me. Guess I'm about cool as fuck.,"{'notes': '', 'label': ['1']}",
500,@KitchenGirlJo what's the fail whale?,"{'notes': '', 'label': ['1']}",
501,oh LOL I use a client so I never get the fail whale :-p,"{'notes': '', 'label': ['1']}",
502,could be that I'm not typing hard enough? happened a lot more when I first got this laptop about 3 weeks ago. Sucks ass,"{'notes': '', 'label': ['1']}",
503,you're a fucking bully  man.,"{'notes': '', 'label': ['1']}",
504,damn son,"{'notes': '', 'label': ['1']}",
505,fuck the world? Or for the win,"{'notes': '', 'label': ['1']}",
506,http://is.gd/brVS (iTunes) or http://is.gd/b4yp Antrel Rolle previewed today's MIN game on the Best Damn Sports Show Podcast.,"{'notes': '', 'label': ['1']}",
507,oh come on. I mean  we all love to hate MyZou  but it's one thing to hate MyZou and another to take a time machine to the 70s.,"{'notes': '', 'label': ['1']}",
508,no i dont! He does. I hate his guts!!!,"{'notes': '', 'label': ['1']}",
509,this makes mme smile lol. I hate him. But we still dont bring him up bc to us he is dead and non-existant.,"{'notes': '', 'label': ['1']}",
510,i hope so that way i can fuck him over continuously.,"{'notes': '', 'label': ['1']}",
511,your a effin cunt! Ihu!,"{'notes': '', 'label': ['1']}",
512,dude that sucks man!,"{'notes': '', 'label': ['1']}",
513,Im glad to meet someone with similar FREAK gifts to me.  haha,"{'notes': '', 'label': ['1']}",
514,read the emacs-rails codebase and then see why emacs is just damn cool,"{'notes': '', 'label': ['1']}",
515,omg omg omg! finally the shoes r coming out yay yay I want them so so so SO BAD! =) fuck cancer! =) this literary made my day,"{'notes': '', 'label': ['1']}",
516,god a free cure show! damn!  I didn't know about this & I live close! ugh lucky lucky how was it??,"{'notes': '', 'label': ['1']}",
517,"Girl  talked to Black Milk on the phn for an hour. Watching ""Big Bang Theory"" drunk as fuck  eating cereal & its cold in the D.","{'notes': '', 'label': ['1']}",
518,Are you out celebrating your birthday? If so  a birthday drink is ok! But don't forget the marathon. I hate being such a stickler.,"{'notes': '', 'label': ['1']}",
519,Damnit.  I've started a new short story.  About a dentist. Fuck.,"{'notes': '', 'label': ['1']}",
520,All of my friends are married gay  or have been burned so badly they don't want 2 even think about another relationship :o( I've,"{'notes': '', 'label': ['1']}",
521,"Well  if he's a pussy  he surely isn't that man of ""substance"" your looking for lol...Don't settle when you know you want more.","{'notes': '', 'label': ['1']}",
522,the fail whale?,"{'notes': '', 'label': ['1']}",
523,Damn  you've had more jobs than  um  er  well  you're just always employed! lol,"{'notes': '', 'label': ['1']}",
524,lol maaan-fuck this!! I almost busted my shit like 5 times tryna walk on this damn ice!!,"{'notes': '', 'label': ['1']}",
525,burger in each hand? Wut a fat ass!! Lol,"{'notes': '', 'label': ['1']}",
526,"yo I only peeped the last 30mins-and I saw here and THOUGHT it was her but figured ""naaah this bitch looks way broker"" lol yikes","{'notes': '', 'label': ['1']}",
527,Yeah! id do her like my nigga did them white chicks at the club on Knocked Up...I fuck the shit out u old bitch but no clubin,"{'notes': '', 'label': ['1']}",
528,yeah she pretty cool but she got moments where i be like ehhhh idk! now id fuck but the ass lick wud depend on the nite,"{'notes': '', 'label': ['1']}",
529,Son i just got finished watchin Big Mommas House...WOW!!! She damn sure can...and she a MILF so thats a bonus,"{'notes': '', 'label': ['1']}",
530,yep ur an uber nerd now,"{'notes': '', 'label': ['1']}",
531,and @rapperbigpooh. Was that Sheila easton? Nah...it was that chick that used to fuck with Prince right?,"{'notes': '', 'label': ['1']}",
532,Damn fucking skippy. I'm onthe same shit,"{'notes': '', 'label': ['1']}",
533,Oldest son just turned 19 months and youngest is 5 weeks old. Damn dude  u look too young to have a 17 year old! :),"{'notes': '', 'label': ['1']}",
534,Bill Donahue? Seriously? Ask him why he uses hate speech against gays  women and Jews and maybe I'd listen to his complaints,"{'notes': '', 'label': ['1']}",
535,I used to do the shopping but when my wife stopped worked a few years back she took over. It is just damn cold until April,"{'notes': '', 'label': ['1']}",
536,I just got done busting my ass for the day. I need Booze!,"{'notes': '', 'label': ['1']}",
537,I nominate @IgortheTroll cuz he's thee Best Damn Troll we gots!! ;)),"{'notes': '', 'label': ['1']}",
538,thats why I hate megavideo.  I'll see if I can get someone to update the episodes with an offshore video hoster.,"{'notes': '', 'label': ['1']}",
539,What a cunt!,"{'notes': '', 'label': ['1']}",
540,that sucks loxy. I wish there was smtg I could do! Is chury back in cgy as well?,"{'notes': '', 'label': ['1']}",
541,and the arabs pussy count reaches 250 million. There I said it  we're all a bunch of pussies. No offence to the pussies,"{'notes': '', 'label': ['1']}",
542, yeah  its seems like most of the time unexplained highs are related to a bad site or fat delays,"{'notes': '', 'label': ['1']}",
543,duh! fat fish and winning the lottery go hand in hand,"{'notes': '', 'label': ['1']}",
544,#NAME?,"{'notes': '', 'label': ['1']}",
545,-politicians should have to pass an ethics exam 2x yearly. I wonder if that's a piss test for them?,"{'notes': '', 'label': ['1']}",
546,I think that's another one that I haven't seen that makes me eligible for gay card revocation,"{'notes': '', 'label': ['1']}",
547,LOOOOL TA PHOTO =D !tu as aim&#233; silvester ou pas ? :S jamais bourr&#233; ensemble -_-' mais trop ch&#232;r l&#224;-bas LOL et le GAY MDR ! lieb dich,"{'notes': '', 'label': ['1']}",
548,Alors NERD s'&#233;tait bien ? vous avez du &#234;tre folles pendant lapdance XD &#224; SAMEDIIII &lt;3,"{'notes': '', 'label': ['1']}",
549,np you are happy with the service? do you have anything to compare to? I hate 3 not working out of cities. and whirlpool likes exe,"{'notes': '', 'label': ['1']}",
550,lmmfao! Shuddup! Any grown ass man that let's other grownass men call him Timmy is gaaaaay!,"{'notes': '', 'label': ['1']}",
551,both  think I liked the first one better. They both beat Harry Potter though  that damn rubbish.,"{'notes': '', 'label': ['1']}",
552,look im sitting at home twittering my ass off on a friday night. I should know better then anyone  lol,"{'notes': '', 'label': ['1']}",
553,lmao damn right but we aint talkin bout me here,"{'notes': '', 'label': ['1']}",
554,I fuck wit the lows if there dope...but I know y'all got me fam I ain't trippin,"{'notes': '', 'label': ['1']}",
555,lol britt just said it look like a big ass pillow fight outside,"{'notes': '', 'label': ['1']}",
556,Wow  that sucks.Merry Christmas to you and your honey (wow  we are both celebrating 'firsts' on that one) -The Bs,"{'notes': '', 'label': ['1']}",
557,Damn skippy. I demand to see you before I leave.  You going to come meet BlendMom?,"{'notes': '', 'label': ['1']}",
558,Arsclan would freak on u.  Tower Def. is build series of midieval like towers (upgradable) near a pathway of continual attacks.,"{'notes': '', 'label': ['1']}",
559,Some liberal gay atheists or Republican fund raisers should jump on that. ;),"{'notes': '', 'label': ['1']}",
560,what are you gonna stab a bitch with? scissors? knife? spear? sword? cock? pencil? dildo? cattle prod? broken glass?,"{'notes': '', 'label': ['1']}",
561,I once let a Delta Chi fuck me in the ass in Raleigh  NC. He took me to Bahama Breeze and that sealed the deal- doesn't take much.,"{'notes': '', 'label': ['1']}",
562,"are you sure they weren't looking for my blog w/ ""wine bottle in ass""??","{'notes': '', 'label': ['1']}",
563,i like to fuck when i tweetup.,"{'notes': '', 'label': ['1']}",
564,$10 for water is better than the throat fucking i got for free the last time i was there.,"{'notes': '', 'label': ['1']}",
565,better give @dochobbes the #nerd prize. he's the nicest nerd i know.,"{'notes': '', 'label': ['1']}",
566,dude the ep is sick..Pussy and Tween Me & U are my Jams..,"{'notes': '', 'label': ['1']}",
567,LOL I did zackly same thing! BTW thanks for leading me to @ChipEFT Just reqd Born Loser's Guide to Abundance! http://rurl.org/18kr,"{'notes': '', 'label': ['1']}",
568,damn those Jets!  Hears hoping for happier fucks in the future. *blinks*,"{'notes': '', 'label': ['1']}",
569, My pussy is still sadly missing.  *blinks*  Do you think this will affect my popularity.  *evil grin*,"{'notes': '', 'label': ['1']}",
570, *shakes head @ you for calling Kitty a pussy*  He's a BOY  you know! lol,"{'notes': '', 'label': ['1']}",
571, I work with a very limited bankroll.  When I'm running bad  I HAVE to go for broke.  Now up for the night.  Also  fuck poker.,"{'notes': '', 'label': ['1']}",
572,I hate those backgrounds because you can't click on any of those listed links. I find it frustrating.,"{'notes': '', 'label': ['1']}",
573,Yes  there is definitely an element of Bush fatigue in all this. Can't wait 'til we can ship his ass back to Texas.,"{'notes': '', 'label': ['1']}",
574,dat bitch left u lol,"{'notes': '', 'label': ['1']}",
575,no fucking crazy josh!!!!,"{'notes': '', 'label': ['1']}",
576,no!!!! Ahhh he is fucking crazy hes been killing himself since yesterday still nothing!,"{'notes': '', 'label': ['1']}",
577,call me emo again and i'll cut myself,"{'notes': '', 'label': ['1']}",
578,i hate that i know some french...and the french you used  was the french i know,"{'notes': '', 'label': ['1']}",
579,"@Dncr1804 i don't even know what i did or said that was ""emo-esque""","{'notes': '', 'label': ['1']}",
580,*twitch* I. Hate. You. J/k.,"{'notes': '', 'label': ['1']}",
581,oh man that sucks. I'm sorry. Sucks to live with people who are dirty..trust me  I can relate.,"{'notes': '', 'label': ['1']}",
582,I felt the same way 3 weeks ago. And then proceeded to watch the whole. damn. thing. lol,"{'notes': '', 'label': ['1']}",
583,Well  you can send me two and get fat on the rest :),"{'notes': '', 'label': ['1']}",
584,you were right  the uv filter that came with that kit sucks. freakin glare spots all over my shots,"{'notes': '', 'label': ['1']}",
585,a party bored as fuck. God I need a grown man party,"{'notes': '', 'label': ['1']}",
586,it's like gay people using the f word.  somehow  allowed.,"{'notes': '', 'label': ['1']}",
587,Damn that is so unfair. Where is the version of Firefox for white  slightly balding men.,"{'notes': '', 'label': ['1']}",
588,Can he seriously help me out or are you taking the piss of him :),"{'notes': '', 'label': ['1']}",
589,home now. Misses wont let me drink beer tonight cus I gotta do shit tomorow morning.Sucks.,"{'notes': '', 'label': ['1']}",
590,man it sucks dont it.On the plane home yesterday i was in agony with the cabin pressure.My ears still are not right now :(,"{'notes': '', 'label': ['1']}",
591,So if lifes a bitch  and sleep is the cousin of death  that whole dam family needs help!!!!!,"{'notes': '', 'label': ['1']}",
592,tell them to fuck off  give it a few years  then laugh at how much better you are then them.,"{'notes': '', 'label': ['1']}",
593,depends on your plan. if you pay out the ass for it  no.,"{'notes': '', 'label': ['1']}",
594, That's a very interesting point and one I hadn't heard before. Copper for elec motors? Damn  I love twitter.,"{'notes': '', 'label': ['1']}",
595,agree entirely. I'd hate to see a graph for my twitter input this week.,"{'notes': '', 'label': ['1']}",
596,guy walks in to a bar with a duck on his head. The bartender says can I help you. The duck says yeah  get this guy off my ass.,"{'notes': '', 'label': ['1']}",
597,- Nazi and Facist... I could you call you a commie pig  but that's not very gentleman-like #Gaza,"{'notes': '', 'label': ['1']}",
598,I miss being here...wish they had corporations here instead of a damn AQUARIUM! I miss Jimmies hotdogs...that dog food be JUMPIN! LOL,"{'notes': '', 'label': ['1']}",
599,dupa cum vezi  eu mai putin cu excelurile  mai mult cu povestile ;o],"{'notes': '', 'label': ['1']}",
600,I nominate @yiyinglu for a Shorty Award in #design because...he designed the fail whale :-),"{'notes': '', 'label': ['1']}",
601,Lol why do you do this?! I hate your guts :-p,"{'notes': '', 'label': ['1']}",
602,But now I really want one  damn you! i hadn't even realised I NEEDED one til you told me they existed!,"{'notes': '', 'label': ['1']}",
603,niiice likewise...sure the boricua gave that away. ah yes we boricuas have good taste (Rob Pattinson) hehe damn sexy brits lol,"{'notes': '', 'label': ['1']}",
604,i hate having to wait till jan. for the big game lol tedious i tell ya,"{'notes': '', 'label': ['1']}",
605,would be at least 4gb at a guess. I ain't using it ATM  if you don't leech ur ass off you're welcome to lend it,"{'notes': '', 'label': ['1']}",
606,meh. All year round baby. They're actually growing like fuck at the moment  except for the caterpillar incident yesterday.,"{'notes': '', 'label': ['1']}",
607,don't hate on ghajini. It was an awesome movie.,"{'notes': '', 'label': ['1']}",
608,If you're hard at work or just leisurely reading  you're not a poser.,"{'notes': '', 'label': ['1']}",
609,God Ashley is a bitch  but still  congrats! :),"{'notes': '', 'label': ['1']}",
610,I cry  but then I'm just like that fucking woman is a bitch. God I hate her!!! (Yolanda) I'm getting mad just thinking lol,"{'notes': '', 'label': ['1']}",
611,lulz. fat chance!  good news is no bacn from friends adding you :D,"{'notes': '', 'label': ['1']}",
612,"Looks like lobby card for ""Ocean's 21: On the Half-Ass""","{'notes': '', 'label': ['1']}",
613,Check @ replies from hahlo  twhirl  tweetdeck et. al. they reply to the user not specific ID. Makes following convos. a bitch.,"{'notes': '', 'label': ['1']}",
614,unless Adobe gets their head out of their ass Flash will die because mobile will be the dominant platform.,"{'notes': '', 'label': ['1']}",
615,Lobsters and ligatures? Are you a Portland-area type nerd  then?,"{'notes': '', 'label': ['1']}",
616, touche (i hate getting SHUT DOWN. I guess that's what I get when I pray for humility.) at least I am a better student t ...,"{'notes': '', 'label': ['1']}",
617,So  it seems you are an attn whore.....no comment. ;-),"{'notes': '', 'label': ['1']}",
618,posted the fat man version to the beyonce song.,"{'notes': '', 'label': ['1']}",
619, Bitch  you wish. Keep dreamin... =],"{'notes': '', 'label': ['1']}",
620,"ahah! and i'll say exactly what i'd say to him: ""bitch make your own!"" i kid:P","{'notes': '', 'label': ['1']}",
621,lol i think she's a huge bitch BUT she's good at what she does and is entertaining at times :),"{'notes': '', 'label': ['1']}",
622,AH! i was too! I hated that bitch. I want Bob or Sugar to win:),"{'notes': '', 'label': ['1']}",
623,I prefer women to be fat in other places  anyway.  Fat toes and earlobes are so cute.,"{'notes': '', 'label': ['1']}",
624,nigella is a bit of a tease I reckon  imagine how fat you'd be stayin at hers,"{'notes': '', 'label': ['1']}",
625,twinface it's ATCQ...your drunk ass can't type lol,"{'notes': '', 'label': ['1']}",
626,there only a few shows i really look forward to seeing.  i hate when they put a reality show on instead with no warning.,"{'notes': '', 'label': ['1']}",
627,Compared to Eeyore and that stupid bear and that demented pig? I think he&#8217;s fine.,"{'notes': '', 'label': ['1']}",
628,"(Fat lot of good my Medieval History degree is doing me these days.)""","{'notes': '', 'label': ['1']}",
629,Who owns one - I just fix 'em! Hate it when electricals go to Hades.,"{'notes': '', 'label': ['1']}",
630,unnecessary.  pain in the ass.  too much effort.,"{'notes': '', 'label': ['1']}",
631,damn ecoterrorists! he shoulda just rented a helicopter  better for the enviroment anyways.,"{'notes': '', 'label': ['1']}",
632,Yeah i'm with ya...I hate to see guys get hurt  but it's a little easier when it's Roth..if only it had been Ward or Polamalu,"{'notes': '', 'label': ['1']}",
633,Yeah  especially if they're those big-ass soft pretzels. Those things are the bomb-diggity.,"{'notes': '', 'label': ['1']}",
634,just read the archive artile on your old site. love the jones comparison. how much hate mail did you get?,"{'notes': '', 'label': ['1']}",
635,i forgot 2 call in gay 2day too! blast!,"{'notes': '', 'label': ['1']}",
636,We miss you back. My Haiku: Famous Dickenson  Exactly Why - I'm not sure. Her poetry sucks.,"{'notes': '', 'label': ['1']}",
637,He was just being a dick in H CoT4  his attitude caused wipes  which made him a bigger dick. It was a vicious circle.,"{'notes': '', 'label': ['1']}",
638,How you gonna call me a hater? I'm entitled to an opinion and that opinion is SB sucks hog ass. Don't give a f!@k about it,"{'notes': '', 'label': ['1']}",
639,heard there were 2do fairies tht come & do ur 2do list if u put a list by the freplce (kinda like leaving cookies 4 the fat guy),"{'notes': '', 'label': ['1']}",
640,i got the 8330 bigger keyboard I got fat thumbs,"{'notes': '', 'label': ['1']}",
641,yo... you should have another show tomorrow cuz we had to record the past two days... damn albums...,"{'notes': '', 'label': ['1']}",
642,ok  i can't believe i just told the haters on Momlogic to kiss your million dollar ass.,"{'notes': '', 'label': ['1']}",
643,oh gdnss  jus saw vlog. WOW  I met that fool yrs ago @ MJ restaurant DC.  What a loser!,"{'notes': '', 'label': ['1']}",
644,I was trying 2 use it the other day also & had the hardest time. I said fuck it &just called the person. It wasn't working.,"{'notes': '', 'label': ['1']}",
645,Yeah I was just saying that. Why did CNN decide he would be a good move? He sucks!! I try to support but I can't.......,"{'notes': '', 'label': ['1']}",
646,We loovveee chicken.  Damn i do also so I really shouldn't complain.  And since I found the chicken i am in a better mood.,"{'notes': '', 'label': ['1']}",
